OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-1.6,22.4,False,40.0,22.3
-1.6,22.4,False,45.0,22.3
-1.5,22.4,False,50.0,22.3
-1.5,22.4,False,60.0,22.3
-1.5,22.4,False,60.0,22.3
-1.4,22.5,False,70.0,22.3
-1.4,22.5,False,73.0,22.3
-1.5,22.6,False,78.0,22.3
-1.4,22.6,False,80.0,22.3
-1.4,22.6,False,81.0,22.3
-1.5,22.6,False,83.0,22.3
-1.4,22.6,False,85.0,22.3
-1.5,22.6,False,90.0,22.3
-1.5,22.6,False,100.0,22.3
-1.5,22.7,False,108.0,22.3
-1.4,22.7,False,110.0,22.3
-1.4,22.8,False,120.0,22.3
-1.4,22.8,False,130.0,22.3
-1.4,22.8,False,140.0,22.3
-1.4,22.8,False,150.0,22.3
-1.4,22.8,False,153.0,22.3
-1.5,22.9,False,160.0,22.3
-1.5,22.9,False,170.0,22.3
-1.5,22.9,False,180.0,22.3
-1.5,22.9,False,190.0,22.3
-1.5,22.9,False,200.0,22.3
-1.5,22.7,False,210.0,22.3
-1.5,22.6,False,220.0,22.3
-1.5,22.4,False,230.0,22.3
-1.5,22.3,False,240.0,22.3
-1.5,22.2,False,250.0,22.3
-1.5,22.1,False,260.0,22.3
-1.5,22.0,False,270.0,22.3
-1.5,21.9,False,280.0,22.3
-1.5,21.9,False,290.0,22.3
-1.5,21.8,False,300.0,22.3
-1.5,21.8,False,310.0,22.3
-1.5,21.7,False,320.0,22.3
-1.5,21.7,False,321.0,22.3
-1.6,21.7,False,330.0,22.3
-1.6,21.6,False,336.0,22.3
-1.5,21.6,False,339.0,22.3
-1.6,21.6,False,340.0,22.3
-1.6,21.6,False,350.0,22.3
-1.6,21.6,False,352.0,22.3
-1.5,21.6,False,354.0,22.3
-1.6,21.6,False,360.0,22.3
-1.6,21.5,False,370.0,22.3
-1.6,21.5,False,374.0,22.3
-1.5,21.5,False,376.0,22.3
-1.6,21.5,False,379.0,22.3
-1.5,21.5,False,380.0,22.3
-1.5,21.5,False,382.0,22.3
-1.6,21.5,False,390.0,22.3
-1.6,21.5,False,392.0,22.3
-1.5,21.5,False,395.0,22.3
-1.6,21.4,False,400.0,22.3
-1.6,21.4,False,407.0,22.3
-1.5,21.4,False,410.0,22.3
-1.5,21.4,False,410.0,22.3
-1.6,21.4,False,415.0,22.3
-1.5,21.4,False,420.0,22.3
-1.5,21.4,False,425.0,22.3
-1.6,21.4,False,430.0,22.3
-1.6,21.4,False,440.0,22.3
-1.6,21.3,False,450.0,22.3
-1.6,21.3,False,460.0,22.3
-1.6,21.3,False,470.0,22.3
-1.6,21.2,False,480.0,22.3
-1.6,21.2,False,490.0,22.3
-1.6,21.2,False,500.0,22.3
-1.6,21.2,False,510.0,22.3
-1.6,21.2,False,511.0,22.3
-1.5,21.1,False,513.0,22.3
