OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-1.6,20.9,True,0.0,20.9
-1.6,20.8,True,10.0,20.9
-1.6,20.8,True,20.0,20.9
-1.6,20.8,True,30.0,20.9
-1.6,20.8,True,35.0,20.9
-1.7,20.8,True,40.0,20.9
-1.7,20.8,True,40.0,20.9
-1.6,20.8,True,43.0,20.9
-1.7,20.8,True,50.0,20.9
-1.7,20.8,True,56.0,20.9
-1.6,20.8,True,58.0,20.9
-1.7,20.8,True,60.0,20.9
-1.7,20.8,True,60.0,20.9
-1.6,20.8,True,66.0,20.9
-1.7,20.8,True,68.0,20.9
-1.6,20.8,True,70.0,20.9
-1.6,20.8,True,74.0,20.9
-1.7,20.8,True,76.0,20.9
-1.6,20.8,True,80.0,20.9
-1.6,20.8,True,90.0,20.9
-1.6,20.9,True,97.0,20.9
-1.7,20.9,True,99.0,20.9
-1.6,20.9,True,100.0,20.9
-1.6,20.9,True,110.0,20.9
-1.3,20.9,True,0.0,20.9
-1.4,20.9,True,0.0,20.9
-1.4,20.9,True,2.0,20.9
-1.3,20.9,True,10.0,20.9
-1.3,20.8,True,13.0,20.9
-1.4,20.9,True,20.0,20.9
-1.4,20.8,True,23.0,20.9
-1.3,20.8,True,30.0,20.9
-1.3,20.8,True,33.0,20.9
-1.4,20.8,True,36.0,20.9
-1.3,20.8,True,40.0,20.9
-1.3,20.8,True,41.0,20.9
-1.4,20.8,True,50.0,20.9
-1.4,20.8,True,58.0,20.9
-1.3,20.8,True,60.0,20.9
-1.3,20.8,True,61.0,20.9
-1.4,20.9,True,70.0,20.9
-1.4,20.9,True,75.0,20.9
-1.2,20.9,True,80.0,20.9
-1.2,20.9,True,83.0,20.9
-1.3,20.9,True,89.0,20.9
-1.2,20.9,True,90.0,20.9
-1.2,20.9,True,91.0,20.9
-1.3,21.0,True,98.0,20.9
-1.2,21.0,True,100.0,20.9
-1.2,21.1,True,104.0,20.9
-1.3,21.1,True,109.0,20.9
-1.2,21.1,True,110.0,20.9
-1.2,21.2,True,117.0,20.9
-1.3,21.2,True,119.0,20.9
-1.2,21.2,True,120.0,20.9
-1.4,21.0,True,0.0,21.0
-1.4,21.0,True,9.0,21.0
-1.5,21.0,True,10.0,21.0
-1.5,21.0,True,11.0,21.0
-1.4,21.0,True,14.0,21.0
-1.5,21.0,True,17.0,21.0
-1.4,21.0,True,19.0,21.0
-1.5,21.0,True,20.0,21.0
-1.5,21.0,True,21.0,21.0
-1.4,21.0,True,30.0,21.0
-1.4,21.0,True,39.0,21.0
-1.5,21.0,True,40.0,21.0
-1.5,21.0,True,44.0,21.0
-1.4,20.9,True,47.0,21.0
-1.5,20.9,True,50.0,21.0
-1.5,21.0,True,56.0,21.0
-1.4,21.0,True,60.0,21.0
-1.4,21.0,True,62.0,21.0
-1.5,20.9,True,70.0,21.0
-1.5,20.9,True,75.0,21.0
-1.4,20.9,True,80.0,21.0
-1.4,20.9,True,82.0,21.0
-1.3,20.9,True,87.0,21.0
-1.4,20.9,True,89.0,21.0
-1.3,20.9,True,90.0,21.0
-1.3,20.9,True,92.0,21.0
-1.4,20.9,True,100.0,21.0
-1.4,21.0,True,102.0,21.0
-1.5,21.0,True,105.0,21.0
-1.4,21.1,True,110.0,21.0
-1.4,21.1,True,112.0,21.0
-1.5,21.1,True,117.0,21.0
-1.4,21.1,True,120.0,21.0
-1.4,21.1,True,120.0,21.0
-1.3,21.1,True,125.0,21.0
-1.2,21.1,True,128.0,21.0
-0.1,21.0,True,0.0,21.0
-0.1,21.0,True,0.0,21.0
-0.2,21.0,True,10.0,21.0
-0.2,20.9,True,11.0,21.0
-0.3,20.9,True,18.0,21.0
-0.4,20.9,True,20.0,21.0
-0.4,20.9,True,23.0,21.0
-0.5,20.9,True,25.0,21.0
-0.4,20.9,True,28.0,21.0
-0.5,20.9,True,30.0,21.0
-0.5,20.9,True,34.0,21.0
-0.6,20.9,True,40.0,21.0
-0.6,20.9,True,50.0,21.0
-0.6,20.9,True,56.0,21.0
-0.5,20.9,True,60.0,21.0
-0.5,20.9,True,66.0,21.0
-0.6,20.9,True,68.0,21.0
-0.5,20.9,True,70.0,21.0
-0.5,20.9,True,70.0,21.0
-0.4,20.9,True,80.0,21.0
-0.4,20.9,True,81.0,21.0
-0.3,20.9,True,84.0,21.0
-0.4,20.9,True,87.0,21.0
-0.3,20.9,True,90.0,21.0
-0.3,20.9,True,92.0,21.0
-0.2,20.9,True,94.0,21.0
-0.3,20.9,True,100.0,21.0
-0.3,20.9,True,110.0,21.0
-0.3,20.9,True,114.0,21.0
-0.2,20.9,True,116.0,21.0
-0.3,20.9,True,119.0,21.0
-0.1,20.9,True,120.0,21.0
-0.1,20.9,True,127.0,21.0
1.3,21.6,True,850.0,21.0
1.3,21.6,True,860.0,21.0
1.3,21.6,True,870.0,21.0
1.3,21.6,True,880.0,21.0
1.3,21.6,True,885.0,21.0
1.2,21.6,True,887.0,21.0
1.3,21.6,True,890.0,21.0
1.3,21.6,True,892.0,21.0
1.2,21.6,True,900.0,21.0
1.2,21.6,True,902.0,21.0
1.1,21.6,True,906.0,21.0
1.2,21.6,True,909.0,21.0
1.1,21.6,True,910.0,21.0
1.1,21.6,True,920.0,21.0
1.2,20.8,True,0.0,20.8
1.2,20.8,True,9.0,20.8
1.3,20.8,True,10.0,20.8
1.3,20.8,True,17.0,20.8
1.2,20.8,True,20.0,20.8
1.2,20.8,True,30.0,20.8
1.2,20.8,True,40.0,20.8
1.2,20.8,True,43.0,20.8
1.1,20.8,True,50.0,20.8
1.1,20.8,True,60.0,20.8
1.1,20.8,True,61.0,20.8
1.0,20.8,True,70.0,20.8
1.0,20.8,True,73.0,20.8
0.9,20.8,True,78.0,20.8
0.8,20.8,True,80.0,20.8
0.8,20.8,True,81.0,20.8
0.7,20.8,True,83.0,20.8
0.6,20.8,True,85.0,20.8
0.7,20.8,True,88.0,20.8
0.6,20.8,True,90.0,20.8
0.6,20.8,True,93.0,20.8
0.5,20.8,True,100.0,20.8
0.5,20.8,True,101.0,20.8
0.4,20.8,True,103.0,20.8
0.5,20.9,True,110.0,20.8
0.5,20.9,True,110.0,20.8
0.6,20.9,True,120.0,20.8
-1.8,20.8,True,0.0,20.8
-1.9,20.8,True,1.0,20.8
-1.9,20.8,True,11.0,20.8
-1.9,20.7,True,21.0,20.8
-1.9,20.7,True,31.0,20.8
-1.9,20.7,True,41.0,20.8
-1.9,20.7,True,45.0,20.8
-2.0,20.7,True,51.0,20.8
-2.0,20.7,True,61.0,20.8
-2.0,20.7,True,70.0,20.8
-1.9,20.7,True,71.0,20.8
-1.9,20.7,True,81.0,20.8
-1.9,20.7,True,85.0,20.8
-1.8,20.7,True,88.0,20.8
-1.9,20.8,True,91.0,20.8
-1.9,20.9,True,98.0,20.8
-1.8,20.9,True,101.0,20.8
-1.8,20.9,True,111.0,20.8
-1.8,20.9,True,121.0,20.8
-1.8,20.9,True,121.0,20.8
-5.3,20.7,True,0.0,20.7
-5.2,20.7,True,2.0,20.7
-5.3,20.7,True,9.0,20.7
-5.2,20.7,True,17.0,20.7
-5.3,20.7,True,19.0,20.7
-5.4,20.7,True,25.0,20.7
-5.5,20.7,True,29.0,20.7
-5.4,20.6,True,32.0,20.7
-5.6,20.6,True,35.0,20.7
-5.5,20.6,True,38.0,20.7
-5.4,20.6,True,50.0,20.7
-5.3,20.6,True,53.0,20.7
-5.2,20.6,True,65.0,20.7
-5.1,20.6,True,73.0,20.7
-4.9,20.6,True,84.0,20.7
-4.8,20.6,True,86.0,20.7
-4.6,20.6,True,88.0,20.7
-4.5,20.6,True,96.0,20.7
-4.4,20.6,True,104.0,20.7
-4.3,20.6,True,106.0,20.7
-4.4,20.6,True,109.0,20.7
-6.6,20.8,True,0.0,20.8
-6.7,20.8,True,9.0,20.8
-6.6,20.8,True,20.0,20.8
-6.5,20.8,True,22.0,20.8
-6.6,20.8,True,30.0,20.8
-6.8,20.8,True,32.0,20.8
-6.9,20.7,True,34.0,20.8
-7.0,20.8,True,37.0,20.8
-7.1,20.8,True,40.0,20.8
-7.0,20.7,True,60.0,20.8
-6.8,20.7,True,63.0,20.8
-6.6,20.7,True,65.0,20.8
-6.4,20.8,True,68.0,20.8
-6.2,20.8,True,76.0,20.8
-6.1,20.8,True,88.0,20.8
-5.9,20.8,True,91.0,20.8
-5.8,20.8,True,94.0,20.8
-5.7,20.8,True,96.0,20.8
0.0,20.3,True,0.0,20.3
0.0,20.3,True,10.0,20.3
0.0,20.2,True,20.0,20.3
0.0,20.2,True,24.0,20.3
0.1,20.2,True,30.0,20.3
0.1,20.2,True,40.0,20.3
0.1,20.2,True,42.0,20.3
0.2,20.2,True,50.0,20.3
0.2,20.2,True,57.0,20.3
0.3,20.3,True,60.0,20.3
0.3,20.2,True,65.0,20.3
0.4,20.4,True,70.0,20.3
0.4,20.4,True,70.0,20.3
0.5,20.4,True,80.0,20.3
0.5,20.5,True,90.0,20.3
0.5,20.6,True,92.0,20.3
0.6,20.6,True,94.0,20.3
0.5,20.6,True,100.0,20.3
0.5,20.6,True,100.0,20.3
0.6,20.6,True,103.0,20.3
0.7,20.6,True,110.0,20.3
0.7,20.7,True,120.0,20.3
0.7,20.7,True,121.0,20.3
0.8,20.7,True,123.0,20.3
2.2,21.9,True,0.0,21.9
2.3,21.9,True,2.0,21.9
2.2,21.9,True,5.0,21.9
2.2,21.8,True,15.0,21.9
2.2,21.8,True,25.0,21.9
2.2,21.8,True,33.0,21.9
2.1,21.8,True,35.0,21.9
2.1,21.9,True,45.0,21.9
2.1,22.1,True,48.0,21.9
2.0,22.2,True,55.0,21.9
0.0,20.9,True,0.0,20.9
0.0,20.9,True,10.0,20.9
0.0,20.9,True,20.0,20.9
0.0,20.9,True,30.0,20.9
0.0,20.9,True,40.0,20.9
0.0,20.9,True,50.0,20.9
0.0,20.9,True,60.0,20.9
0.0,20.8,True,70.0,20.9
0.0,20.9,True,80.0,20.9
0.0,20.9,True,90.0,20.9
0.0,20.9,True,96.0,20.9
0.1,20.8,True,100.0,20.9
0.1,20.9,True,102.0,20.9
0.0,20.8,True,104.0,20.9
0.1,20.9,True,109.0,20.9
0.2,20.9,True,110.0,20.9
0.2,20.8,True,112.0,20.9
0.1,20.8,True,114.0,20.9
0.2,20.9,True,120.0,20.9
-0.8,22.0,True,850.0,20.9
-0.8,22.1,True,860.0,20.9
-0.8,22.1,True,870.0,20.9
-0.8,22.2,True,880.0,20.9
-1.3,21.0,True,0.0,21.0
-1.3,21.0,True,10.0,21.0
-1.3,21.0,True,14.0,21.0
